Region;Building type;Age cohort;Steel product;value
GBR;Edu;1945-1969;Other metal coated sheet and strip;0
GBR;Edu;1945-1969;Non-metallic coated sheet and strip;0
GBR;Edu;1945-1969;Welded tubes;0
GBR;Edu;1945-1969;Liquid steel;0
GBR;Edu;1970-1989;Concrete reinforcing bars in transport concrete;52.41656168
GBR;Edu;1970-1989;Concrete reinforcing bars in precast concrete;24.10396632
GBR;Edu;1970-1989;Hot rolled bars;0
GBR;Edu;1970-1989;Wire rod;0
GBR;Edu;1970-1989;Railway track material;0
GBR;Edu;1970-1989;Heavy sections;0
GBR;Edu;1970-1989;Light sections;0
GBR;Edu;1970-1989;Seamless tubes;0
GBR;Edu;1970-1989;Hot rolled plate;0
GBR;Edu;1970-1989;Hot rolled coild, sheet and strip;0
GBR;Edu;1970-1989;Electrical sheet and strip;0
GBR;Edu;1970-1989;Tinmill products;0
GBR;Edu;1970-1989;Other metal coated sheet and strip;0
GBR;Edu;1970-1989;Non-metallic coated sheet and strip;0
GBR;Edu;1970-1989;Welded tubes;0
GBR;Edu;1970-1989;Liquid steel;0
GBR;Edu;1990-2010;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Edu;1990-2010;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Edu;1990-2010;Hot rolled bars;0
GBR;Edu;1990-2010;Wire rod;0
GBR;Edu;1990-2010;Railway track material;0
GBR;Edu;1990-2010;Heavy sections;0
GBR;Edu;1990-2010;Light sections;0
GBR;Edu;1990-2010;Seamless tubes;0
GBR;Edu;1990-2010;Hot rolled plate;0
GBR;Edu;1990-2010;Hot rolled coild, sheet and strip;0
GBR;Edu;1990-2010;Electrical sheet and strip;0
GBR;Edu;1990-2010;Tinmill products;0
GBR;Edu;1990-2010;Other metal coated sheet and strip;0
GBR;Edu;1990-2010;Non-metallic coated sheet and strip;0
GBR;Edu;1990-2010;Welded tubes;0
GBR;Edu;1990-2010;Liquid steel;0
GBR;Edu;2011-2020;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Edu;2011-2020;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Edu;2011-2020;Hot rolled bars;0
GBR;Edu;2011-2020;Wire rod;0
GBR;Edu;2011-2020;Railway track material;0
GBR;Edu;2011-2020;Heavy sections;0
GBR;Edu;2011-2020;Light sections;0
GBR;Edu;2011-2020;Seamless tubes;0
GBR;Edu;2011-2020;Hot rolled plate;0
GBR;Edu;2011-2020;Hot rolled coild, sheet and strip;0
GBR;Edu;2011-2020;Electrical sheet and strip;0
GBR;Edu;2011-2020;Tinmill products;0
GBR;Edu;2011-2020;Other metal coated sheet and strip;0
GBR;Edu;2011-2020;Non-metallic coated sheet and strip;0
GBR;Edu;2011-2020;Welded tubes;0
GBR;Edu;2011-2020;Liquid steel;0
GBR;Edu;2021-2030;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Edu;2021-2030;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Edu;2021-2030;Hot rolled bars;0
GBR;Edu;2021-2030;Wire rod;0
GBR;Edu;2021-2030;Railway track material;0
GBR;Edu;2021-2030;Heavy sections;0
GBR;Edu;2021-2030;Light sections;0
GBR;Edu;2021-2030;Seamless tubes;0
GBR;Edu;2021-2030;Hot rolled plate;0
GBR;Edu;2021-2030;Hot rolled coild, sheet and strip;0
GBR;Edu;2021-2030;Electrical sheet and strip;0
GBR;Edu;2021-2030;Tinmill products;0
GBR;Edu;2021-2030;Other metal coated sheet and strip;0
GBR;Edu;2021-2030;Non-metallic coated sheet and strip;0
GBR;Edu;2021-2030;Welded tubes;0
GBR;Edu;2021-2030;Liquid steel;0
GBR;Edu;2031-2040;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Edu;2031-2040;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Edu;2031-2040;Hot rolled bars;0
GBR;Edu;2031-2040;Wire rod;0
GBR;Edu;2031-2040;Railway track material;0
GBR;Edu;2031-2040;Heavy sections;0
GBR;Edu;2031-2040;Light sections;0
GBR;Edu;2031-2040;Seamless tubes;0
GBR;Edu;2031-2040;Hot rolled plate;0
GBR;Edu;2031-2040;Hot rolled coild, sheet and strip;0
GBR;Edu;2031-2040;Electrical sheet and strip;0
GBR;Edu;2031-2040;Tinmill products;0
GBR;Edu;2031-2040;Other metal coated sheet and strip;0
GBR;Edu;2031-2040;Non-metallic coated sheet and strip;0
GBR;Edu;2031-2040;Welded tubes;0
GBR;Edu;2031-2040;Liquid steel;0
GBR;Edu;2040<;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Edu;2040<;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Edu;2040<;Hot rolled bars;0
GBR;Edu;2040<;Wire rod;0
GBR;Edu;2040<;Railway track material;0
GBR;Edu;2040<;Heavy sections;0
GBR;Edu;2040<;Light sections;0
GBR;Edu;2040<;Seamless tubes;0
GBR;Edu;2040<;Hot rolled plate;0
GBR;Edu;2040<;Hot rolled coild, sheet and strip;0
GBR;Edu;2040<;Electrical sheet and strip;0
GBR;Edu;2040<;Tinmill products;0
GBR;Edu;2040<;Other metal coated sheet and strip;0
GBR;Edu;2040<;Non-metallic coated sheet and strip;0
GBR;Edu;2040<;Welded tubes;0
GBR;Edu;2040<;Liquid steel;0
GBR;Hea;>1945;Concrete reinforcing bars in transport concrete;0
GBR;Hea;>1945;Concrete reinforcing bars in precast concrete;0
GBR;Hea;>1945;Hot rolled bars;0
GBR;Hea;>1945;Wire rod;0
GBR;Hea;>1945;Railway track material;0
GBR;Hea;>1945;Heavy sections;0
GBR;Hea;>1945;Light sections;0
GBR;Hea;>1945;Seamless tubes;0
GBR;Hea;>1945;Hot rolled plate;0
GBR;Hea;>1945;Hot rolled coild, sheet and strip;0
GBR;Hea;>1945;Electrical sheet and strip;0
GBR;Hea;>1945;Tinmill products;0
GBR;Hea;>1945;Other metal coated sheet and strip;0
GBR;Hea;>1945;Non-metallic coated sheet and strip;0
GBR;Hea;>1945;Welded tubes;0
GBR;Hea;>1945;Liquid steel;0
GBR;Hea;1945-1969;Concrete reinforcing bars in transport concrete;21.92
GBR;Hea;1945-1969;Concrete reinforcing bars in precast concrete;10.08
GBR;Hea;1945-1969;Hot rolled bars;0
GBR;Hea;1945-1969;Wire rod;0
GBR;Hea;1945-1969;Railway track material;0
GBR;Hea;1945-1969;Heavy sections;0
GBR;Hea;1945-1969;Light sections;0
GBR;Hea;1945-1969;Seamless tubes;0
GBR;Hea;1945-1969;Hot rolled plate;0
GBR;Hea;1945-1969;Hot rolled coild, sheet and strip;0
GBR;Hea;1945-1969;Electrical sheet and strip;0
GBR;Hea;1945-1969;Tinmill products;0
GBR;Hea;1945-1969;Other metal coated sheet and strip;0
GBR;Hea;1945-1969;Non-metallic coated sheet and strip;0
GBR;Hea;1945-1969;Welded tubes;0
GBR;Hea;1945-1969;Liquid steel;0
GBR;Hea;1970-1989;Concrete reinforcing bars in transport concrete;52.41656168
GBR;Hea;1970-1989;Concrete reinforcing bars in precast concrete;24.10396632
GBR;Hea;1970-1989;Hot rolled bars;0
GBR;Hea;1970-1989;Wire rod;0
GBR;Hea;1970-1989;Railway track material;0
GBR;Hea;1970-1989;Heavy sections;0
GBR;Hea;1970-1989;Light sections;0
GBR;Hea;1970-1989;Seamless tubes;0
GBR;Hea;1970-1989;Hot rolled plate;0
GBR;Hea;1970-1989;Hot rolled coild, sheet and strip;0
GBR;Hea;1970-1989;Electrical sheet and strip;0
GBR;Hea;1970-1989;Tinmill products;0
GBR;Hea;1970-1989;Other metal coated sheet and strip;0
GBR;Hea;1970-1989;Non-metallic coated sheet and strip;0
GBR;Hea;1970-1989;Welded tubes;0
GBR;Hea;1970-1989;Liquid steel;0
GBR;Hea;1990-2010;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Hea;1990-2010;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Hea;1990-2010;Hot rolled bars;0
GBR;Hea;1990-2010;Wire rod;0
GBR;Hea;1990-2010;Railway track material;0
GBR;Hea;1990-2010;Heavy sections;0
GBR;Hea;1990-2010;Light sections;0
GBR;Hea;1990-2010;Seamless tubes;0
GBR;Hea;1990-2010;Hot rolled plate;0
GBR;Hea;1990-2010;Hot rolled coild, sheet and strip;0
GBR;Hea;1990-2010;Electrical sheet and strip;0
GBR;Hea;1990-2010;Tinmill products;0
GBR;Hea;1990-2010;Other metal coated sheet and strip;0
GBR;Hea;1990-2010;Non-metallic coated sheet and strip;0
GBR;Hea;1990-2010;Welded tubes;0
GBR;Hea;1990-2010;Liquid steel;0
GBR;Hea;2011-2020;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Hea;2011-2020;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Hea;2011-2020;Hot rolled bars;0
GBR;Hea;2011-2020;Wire rod;0
GBR;Hea;2011-2020;Railway track material;0
GBR;Hea;2011-2020;Heavy sections;0
GBR;Hea;2011-2020;Light sections;0
GBR;Hea;2011-2020;Seamless tubes;0
GBR;Hea;2011-2020;Hot rolled plate;0
GBR;Hea;2011-2020;Hot rolled coild, sheet and strip;0
GBR;Hea;2011-2020;Electrical sheet and strip;0
GBR;Hea;2011-2020;Tinmill products;0
GBR;Hea;2011-2020;Other metal coated sheet and strip;0
GBR;Hea;2011-2020;Non-metallic coated sheet and strip;0
GBR;Hea;2011-2020;Welded tubes;0
GBR;Hea;2011-2020;Liquid steel;0
GBR;Hea;2021-2030;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Hea;2021-2030;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Hea;2021-2030;Hot rolled bars;0
GBR;Hea;2021-2030;Wire rod;0
GBR;Hea;2021-2030;Railway track material;0
GBR;Hea;2021-2030;Heavy sections;0
GBR;Hea;2021-2030;Light sections;0
GBR;Hea;2021-2030;Seamless tubes;0
GBR;Hea;2021-2030;Hot rolled plate;0
GBR;Hea;2021-2030;Hot rolled coild, sheet and strip;0
GBR;Hea;2021-2030;Electrical sheet and strip;0
GBR;Hea;2021-2030;Tinmill products;0
GBR;Hea;2021-2030;Other metal coated sheet and strip;0
GBR;Hea;2021-2030;Non-metallic coated sheet and strip;0
GBR;Hea;2021-2030;Welded tubes;0
GBR;Hea;2021-2030;Liquid steel;0
GBR;Hea;2031-2040;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Hea;2031-2040;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Hea;2031-2040;Hot rolled bars;0
GBR;Hea;2031-2040;Wire rod;0
GBR;Hea;2031-2040;Railway track material;0
GBR;Hea;2031-2040;Heavy sections;0
GBR;Hea;2031-2040;Light sections;0
GBR;Hea;2031-2040;Seamless tubes;0
GBR;Hea;2031-2040;Hot rolled plate;0
GBR;Hea;2031-2040;Hot rolled coild, sheet and strip;0
GBR;Hea;2031-2040;Electrical sheet and strip;0
GBR;Hea;2031-2040;Tinmill products;0
GBR;Hea;2031-2040;Other metal coated sheet and strip;0
GBR;Hea;2031-2040;Non-metallic coated sheet and strip;0
GBR;Hea;2031-2040;Welded tubes;0
GBR;Hea;2031-2040;Liquid steel;0
GBR;Hea;2040<;Concrete reinforcing bars in transport concrete;79.5569275
GBR;Hea;2040<;Concrete reinforcing bars in precast concrete;36.5845725
GBR;Hea;2040<;Hot rolled bars;0
GBR;Hea;2040<;Wire rod;0
GBR;Hea;2040<;Railway track material;0
GBR;Hea;2040<;Heavy sections;0
GBR;Hea;2040<;Light sections;0
GBR;Hea;2040<;Seamless tubes;0
GBR;Hea;2040<;Hot rolled plate;0
GBR;Hea;2040<;Hot rolled coild, sheet and strip;0
GBR;Hea;2040<;Electrical sheet and strip;0
GBR;Hea;2040<;Tinmill products;0
GBR;Hea;2040<;Other metal coated sheet and strip;0
GBR;Hea;2040<;Non-metallic coated sheet and strip;0
GBR;Hea;2040<;Welded tubes;0
GBR;Hea;2040<;Liquid steel;0
GBR;Oth;>1945;Concrete reinforcing bars in transport concrete;0
GBR;Oth;>1945;Concrete reinforcing bars in precast concrete;0
GBR;Oth;>1945;Hot rolled bars;0
GBR;Oth;>1945;Wire rod;0
GBR;Oth;>1945;Railway track material;0
GBR;Oth;>1945;Heavy sections;0
GBR;Oth;>1945;Light sections;0
GBR;Oth;>1945;Seamless tubes;0
GBR;Oth;>1945;Hot rolled plate;0
GBR;Oth;>1945;Hot rolled coild, sheet and strip;0
GBR;Oth;>1945;Electrical sheet and strip;0
GBR;Oth;>1945;Tinmill products;0
GBR;Oth;>1945;Other metal coated sheet and strip;0
GBR;Oth;>1945;Non-metallic coated sheet and strip;0
GBR;Oth;>1945;Welded tubes;0
GBR;Oth;>1945;Liquid steel;0
GBR;Oth;1945-1969;Concrete reinforcing bars in transport concrete;15.6106695
GBR;Oth;1945-1969;Concrete reinforcing bars in precast concrete;7.178629039
GBR;Oth;1945-1969;Hot rolled bars;0
GBR;Oth;1945-1969;Wire rod;0
GBR;Oth;1945-1969;Railway track material;0
GBR;Oth;1945-1969;Heavy sections;0
GBR;Oth;1945-1969;Light sections;0
GBR;Oth;1945-1969;Seamless tubes;0
GBR;Oth;1945-1969;Hot rolled plate;0
GBR;Oth;1945-1969;Hot rolled coild, sheet and strip;0
GBR;Oth;1945-1969;Electrical sheet and strip;0
GBR;Oth;1945-1969;Tinmill products;0
GBR;Oth;1945-1969;Other metal coated sheet and strip;0
GBR;Oth;1945-1969;Non-metallic coated sheet and strip;0
GBR;Oth;1945-1969;Welded tubes;0
GBR;Oth;1945-1969;Liquid steel;0
GBR;Oth;1970-1989;Concrete reinforcing bars in transport concrete;53.3524964
GBR;Oth;1970-1989;Concrete reinforcing bars in precast concrete;24.53435966
GBR;Oth;1970-1989;Hot rolled bars;0
GBR;Oth;1970-1989;Wire rod;0
GBR;Oth;1970-1989;Railway track material;0
GBR;Oth;1970-1989;Heavy sections;0
GBR;Oth;1970-1989;Light sections;0
GBR;Oth;1970-1989;Seamless tubes;0
GBR;Oth;1970-1989;Hot rolled plate;0
GBR;Oth;1970-1989;Hot rolled coild, sheet and strip;0
GBR;Oth;1970-1989;Electrical sheet and strip;0
GBR;Oth;1970-1989;Tinmill products;0
GBR;Oth;1970-1989;Other metal coated sheet and strip;0
GBR;Oth;1970-1989;Non-metallic coated sheet and strip;0
GBR;Oth;1970-1989;Welded tubes;0
GBR;Oth;1970-1989;Liquid steel;0
GBR;Oth;1990-2010;Concrete reinforcing bars in transport concrete;71.44607362
GBR;Oth;1990-2010;Concrete reinforcing bars in precast concrete;32.85476378
GBR;Oth;1990-2010;Hot rolled bars;0
GBR;Oth;1990-2010;Wire rod;0
GBR;Oth;1990-2010;Railway track material;0
GBR;Oth;1990-2010;Heavy sections;0
GBR;Oth;1990-2010;Light sections;0
GBR;Oth;1990-2010;Seamless tubes;0
GBR;Oth;1990-2010;Hot rolled plate;0
GBR;Oth;1990-2010;Hot rolled coild, sheet and strip;0
GBR;Oth;1990-2010;Electrical sheet and strip;0
GBR;Oth;1990-2010;Tinmill products;0
GBR;Oth;1990-2010;Other metal coated sheet and strip;0
GBR;Oth;1990-2010;Non-metallic coated sheet and strip;0
GBR;Oth;1990-2010;Welded tubes;0
GBR;Oth;1990-2010;Liquid steel;0
GBR;Oth;2011-2020;Concrete reinforcing bars in transport concrete;68.14125718
GBR;Oth;2011-2020;Concrete reinforcing bars in precast concrete;31.33503067
GBR;Oth;2011-2020;Hot rolled bars;0
GBR;Oth;2011-2020;Wire rod;0
GBR;Oth;2011-2020;Railway track material;0
GBR;Oth;2011-2020;Heavy sections;0
GBR;Oth;2011-2020;Light sections;0
GBR;Oth;2011-2020;Seamless tubes;0
GBR;Oth;2011-2020;Hot rolled plate;0
GBR;Oth;2011-2020;Hot rolled coild, sheet and strip;0
GBR;Oth;2011-2020;Electrical sheet and strip;0
GBR;Oth;2011-2020;Tinmill products;0
GBR;Oth;2011-2020;Other metal coated sheet and strip;0
GBR;Oth;2011-2020;Non-metallic coated sheet and strip;0
GBR;Oth;2011-2020;Welded tubes;0
GBR;Oth;2011-2020;Liquid steel;0
GBR;Oth;2021-2030;Concrete reinforcing bars in transport concrete;68.14125718
GBR;Oth;2021-2030;Concrete reinforcing bars in precast concrete;31.33503067
GBR;Oth;2021-2030;Hot rolled bars;0
GBR;Oth;2021-2030;Wire rod;0
GBR;Oth;2021-2030;Railway track material;0
GBR;Oth;2021-2030;Heavy sections;0
GBR;Oth;2021-2030;Light sections;0
GBR;Oth;2021-2030;Seamless tubes;0
GBR;Oth;2021-2030;Hot rolled plate;0
GBR;Oth;2021-2030;Hot rolled coild, sheet and strip;0
GBR;Oth;2021-2030;Electrical sheet and strip;0
GBR;Oth;2021-2030;Tinmill products;0
GBR;Oth;2021-2030;Other metal coated sheet and strip;0
GBR;Oth;2021-2030;Non-metallic coated sheet and strip;0
GBR;Oth;2021-2030;Welded tubes;0
GBR;Oth;2021-2030;Liquid steel;0
GBR;Oth;2031-2040;Concrete reinforcing bars in transport concrete;68.14125718
GBR;Oth;2031-2040;Concrete reinforcing bars in precast concrete;31.33503067
GBR;Oth;2031-2040;Hot rolled bars;0
GBR;Oth;2031-2040;Wire rod;0
GBR;Oth;2031-2040;Railway track material;0
GBR;Oth;2031-2040;Heavy sections;0
GBR;Oth;2031-2040;Light sections;0
GBR;Oth;2031-2040;Seamless tubes;0
GBR;Oth;2031-2040;Hot rolled plate;0
GBR;Oth;2031-2040;Hot rolled coild, sheet and strip;0
GBR;Oth;2031-2040;Electrical sheet and strip;0
GBR;Oth;2031-2040;Tinmill products;0
GBR;Oth;2031-2040;Other metal coated sheet and strip;0
GBR;Oth;2031-2040;Non-metallic coated sheet and strip;0
GBR;Oth;2031-2040;Welded tubes;0
GBR;Oth;2031-2040;Liquid steel;0
GBR;Oth;2040<;Concrete reinforcing bars in transport concrete;68.14125718
GBR;Oth;2040<;Concrete reinforcing bars in precast concrete;31.33503067
GBR;Oth;2040<;Hot rolled bars;0
GBR;Oth;2040<;Wire rod;0
GBR;Oth;2040<;Railway track material;0
GBR;Oth;2040<;Heavy sections;0
GBR;Oth;2040<;Light sections;0
GBR;Oth;2040<;Seamless tubes;0
GBR;Oth;2040<;Hot rolled plate;0
GBR;Oth;2040<;Hot rolled coild, sheet and strip;0
GBR;Oth;2040<;Electrical sheet and strip;0
GBR;Oth;2040<;Tinmill products;0
GBR;Oth;2040<;Other metal coated sheet and strip;0
GBR;Oth;2040<;Non-metallic coated sheet and strip;0
GBR;Oth;2040<;Welded tubes;0
GBR;Oth;2040<;Liquid steel;0
GRC;SFH;>1945;Concrete reinforcing bars in transport concrete;0
GRC;SFH;>1945;Concrete reinforcing bars in precast concrete;0
GRC;SFH;>1945;Hot rolled bars;0
GRC;SFH;>1945;Wire rod;0
GRC;SFH;>1945;Railway track material;0
GRC;SFH;>1945;Heavy sections;0
GRC;SFH;>1945;Light sections;0
GRC;SFH;>1945;Seamless tubes;0
GRC;SFH;>1945;Hot rolled plate;0
GRC;SFH;>1945;Hot rolled coild, sheet and strip;0
GRC;SFH;>1945;Electrical sheet and strip;0
GRC;SFH;>1945;Tinmill products;0
GRC;SFH;>1945;Other metal coated sheet and strip;0
GRC;SFH;>1945;Non-metallic coated sheet and strip;0
GRC;SFH;>1945;Welded tubes;0
GRC;SFH;>1945;Liquid steel;0
GRC;SFH;1945-1969;Concrete reinforcing bars in transport concrete;32.83015182
GRC;SFH;1945-1969;Concrete reinforcing bars in precast concrete;15.09707712
GRC;SFH;1945-1969;Hot rolled bars;0
GRC;SFH;1945-1969;Wire rod;0
GRC;SFH;1945-1969;Railway track material;0
GRC;SFH;1945-1969;Heavy sections;0
GRC;SFH;1945-1969;Light sections;0
GRC;SFH;1945-1969;Seamless tubes;0
GRC;SFH;1945-1969;Hot rolled plate;0
GRC;SFH;1945-1969;Hot rolled coild, sheet and strip;0
GRC;SFH;1945-1969;Electrical sheet and strip;0
GRC;SFH;1945-1969;Tinmill products;0
GRC;SFH;1945-1969;Other metal coated sheet and strip;0
GRC;SFH;1945-1969;Non-metallic coated sheet and strip;0
GRC;SFH;1945-1969;Welded tubes;0
GRC;SFH;1945-1969;Liquid steel;0
GRC;SFH;1970-1989;Concrete reinforcing bars in transport concrete;36.02738956
GRC;SFH;1970-1989;Concrete reinforcing bars in precast concrete;16.56733972
GRC;SFH;1970-1989;Hot rolled bars;0
GRC;SFH;1970-1989;Wire rod;0
GRC;SFH;1970-1989;Railway track material;0
GRC;SFH;1970-1989;Heavy sections;0
GRC;SFH;1970-1989;Light sections;0
GRC;SFH;1970-1989;Seamless tubes;0
GRC;SFH;1970-1989;Hot rolled plate;0
GRC;SFH;1970-1989;Hot rolled coild, sheet and strip;0
GRC;SFH;1970-1989;Electrical sheet and strip;0
GRC;SFH;1970-1989;Tinmill products;0
GRC;SFH;1970-1989;Other metal coated sheet and strip;0
GRC;SFH;1970-1989;Non-metallic coated sheet and strip;0
GRC;SFH;1970-1989;Welded tubes;0
GRC;SFH;1970-1989;Liquid steel;0
GRC;SFH;1990-2010;Concrete reinforcing bars in transport concrete;41.10388917
GRC;SFH;1990-2010;Concrete reinforcing bars in precast concrete;18.90178845
GRC;SFH;1990-2010;Hot rolled bars;0
GRC;SFH;1990-2010;Wire rod;0
GRC;SFH;1990-2010;Railway track material;0
GRC;SFH;1990-2010;Heavy sections;0
GRC;SFH;1990-2010;Light sections;0
GRC;SFH;1990-2010;Seamless tubes;0
GRC;SFH;1990-2010;Hot rolled plate;0
GRC;SFH;1990-2010;Hot rolled coild, sheet and strip;0
GRC;SFH;1990-2010;Electrical sheet and strip;0
GRC;SFH;1990-2010;Tinmill products;0
GRC;SFH;1990-2010;Other metal coated sheet and strip;0
GRC;SFH;1990-2010;Non-metallic coated sheet and strip;0
GRC;SFH;1990-2010;Welded tubes;0
GRC;SFH;1990-2010;Liquid steel;0
GRC;SFH;2011-2020;Concrete reinforcing bars in transport concrete;42.4194109
GRC;SFH;2011-2020;Concrete reinforcing bars in precast concrete;19.5067364
GRC;SFH;2011-2020;Hot rolled bars;0
GRC;SFH;2011-2020;Wire rod;0
GRC;SFH;2011-2020;Railway track material;0
GRC;SFH;2011-2020;Heavy sections;0
GRC;SFH;2011-2020;Light sections;0
GRC;SFH;2011-2020;Seamless tubes;0
GRC;SFH;2011-2020;Hot rolled plate;0
GRC;SFH;2011-2020;Hot rolled coild, sheet and strip;0
GRC;SFH;2011-2020;Electrical sheet and strip;0
GRC;SFH;2011-2020;Tinmill products;0
GRC;SFH;2011-2020;Other metal coated sheet and strip;0
GRC;SFH;2011-2020;Non-metallic coated sheet and strip;0
GRC;SFH;2011-2020;Welded tubes;0
GRC;SFH;2011-2020;Liquid steel;0
GRC;SFH;2021-2030;Concrete reinforcing bars in transport concrete;42.4194109
GRC;SFH;2021-2030;Concrete reinforcing bars in precast concrete;19.5067364
GRC;SFH;2021-2030;Hot rolled bars;0
GRC;SFH;2021-2030;Wire rod;0
GRC;SFH;2021-2030;Railway track material;0
GRC;SFH;2021-2030;Heavy sections;0
GRC;SFH;2021-2030;Light sections;0
GRC;SFH;2021-2030;Seamless tubes;0
GRC;SFH;2021-2030;Hot rolled plate;0
GRC;SFH;2021-2030;Hot rolled coild, sheet and strip;0
GRC;SFH;2021-2030;Electrical sheet and strip;0
GRC;SFH;2021-2030;Tinmill products;0
GRC;SFH;2021-2030;Other metal coated sheet and strip;0
GRC;SFH;2021-2030;Non-metallic coated sheet and strip;0
GRC;SFH;2021-2030;Welded tubes;0
GRC;SFH;2021-2030;Liquid steel;0
GRC;SFH;2031-2040;Concrete reinforcing bars in transport concrete;42.4194109
GRC;SFH;2031-2040;Concrete reinforcing bars in precast concrete;19.5067364
GRC;SFH;2031-2040;Hot rolled bars;0
GRC;SFH;2031-2040;Wire rod;0
GRC;SFH;2031-2040;Railway track material;0
GRC;SFH;2031-2040;Heavy sections;0
GRC;SFH;2031-2040;Light sections;0
GRC;SFH;2031-2040;Seamless tubes;0
GRC;SFH;2031-2040;Hot rolled plate;0
GRC;SFH;2031-2040;Hot rolled coild, sheet and strip;0
GRC;SFH;2031-2040;Electrical sheet and strip;0
GRC;SFH;2031-2040;Tinmill products;0
GRC;SFH;2031-2040;Other metal coated sheet and strip;0
GRC;SFH;2031-2040;Non-metallic coated sheet and strip;0
GRC;SFH;2031-2040;Welded tubes;0
GRC;SFH;2031-2040;Liquid steel;0
GRC;SFH;2040<;Concrete reinforcing bars in transport concrete;42.4194109
GRC;SFH;2040<;Concrete reinforcing bars in precast concrete;19.5067364
GRC;SFH;2040<;Hot rolled bars;0
GRC;SFH;2040<;Wire rod;0
GRC;SFH;2040<;Railway track material;0
GRC;SFH;2040<;Heavy sections;0
GRC;SFH;2040<;Light sections;0
GRC;SFH;2040<;Seamless tubes;0
GRC;SFH;2040<;Hot rolled plate;0
GRC;SFH;2040<;Hot rolled coild, sheet and strip;0
GRC;SFH;2040<;Electrical sheet and strip;0
GRC;SFH;2040<;Tinmill products;0
GRC;SFH;2040<;Other metal coated sheet and strip;0
GRC;SFH;2040<;Non-metallic coated sheet and strip;0
GRC;SFH;2040<;Welded tubes;0
GRC;SFH;2040<;Liquid steel;0
GRC;MFH;>1945;Concrete reinforcing bars in transport concrete;0
GRC;MFH;>1945;Concrete reinforcing bars in precast concrete;0
GRC;MFH;>1945;Hot rolled bars;0
GRC;MFH;>1945;Wire rod;0
